Outer_iter,GenGoal_frac_Performance Variation,GenGoal_frac_Low rewards,GenGoal_frac_Good goals,GenGoal_frac_Other,Outer_MeanRewards,GenGoal_frac_High rewards,Outer_Success
1,0.0,0.7833333333333333,0.2,0.0,-2136.900005505228,0.016666666666666666,0.057598039215686264
2,0.0,0.5833333333333334,0.35,0.0,-1538.360287818662,0.06666666666666667,0.23284313725490194
3,0.0,0.58,0.36333333333333334,0.0,-1364.8056118118304,0.056666666666666664,0.24019607843137253
4,0.0,0.59,0.35333333333333333,0.0,-1294.2579160405496,0.056666666666666664,0.20098039215686272
5,0.0,0.5233333333333333,0.3433333333333333,0.0,-1295.596848965376,0.13333333333333333,0.27328431372549017
6,0.0,0.49666666666666665,0.12,0.0,-1263.272564525003,0.38333333333333336,0.4117647058823529
7,0.0,0.48,0.19,0.0,-1233.7747994917606,0.33,0.4019607843137255
8,0.0,0.5133333333333333,0.02666666666666667,0.0,-1166.4417761103398,0.46,0.43995098039215685
9,0.0,0.5166666666666667,0.08666666666666667,0.0,-1180.2472698630038,0.39666666666666667,0.45343137254901955
10,0.0,0.51,0.03666666666666667,0.0,-1166.2175929407886,0.4533333333333333,0.46078431372549017
11,0.0,0.56,0.05333333333333334,0.0,-1223.2082594431608,0.38666666666666666,0.43137254901960786
12,0.0,0.5233333333333333,0.03666666666666667,0.0,-1141.8352803256043,0.44,0.4730392156862746
13,0.0,0.49666666666666665,0.13666666666666666,0.0,-1151.488741241133,0.36666666666666664,0.40686274509803916
14,0.0,0.52,0.1,0.0,-1114.7109445924286,0.38,0.4362745098039215
15,0.0,0.5766666666666667,0.08,0.0,-1126.4269023091078,0.3433333333333333,0.4203431372549019
16,0.0,0.48333333333333334,0.16,0.0,-1134.678403310639,0.3566666666666667,0.40563725490196073
17,0.0,0.53,0.04,0.0,-1111.2604961442175,0.43,0.4362745098039215
18,0.0,0.4866666666666667,0.03333333333333333,0.0,-1120.3713774810503,0.48,0.4877450980392157
19,0.0,0.5266666666666666,0.06333333333333334,0.0,-1108.9085180099103,0.41,0.4301470588235294
20,0.0,0.54,0.14666666666666667,0.0,-1124.1090540580738,0.31333333333333335,0.4313725490196078
21,0.0,0.5333333333333333,0.11333333333333333,0.0,-1094.6372075928389,0.35333333333333333,0.4473039215686274
22,0.0,0.6,0.06666666666666667,0.0,-1141.012438605664,0.3333333333333333,0.41299019607843135
23,0.0,0.5266666666666666,0.07333333333333333,0.0,-1110.2728422078683,0.4,0.41666666666666663
24,0.0,0.58,0.07333333333333333,0.0,-1154.4800938775238,0.3466666666666667,0.3848039215686274
25,0.0,0.58,0.02666666666666667,0.0,-1174.1063337365422,0.3933333333333333,0.39460784313725494
26,0.0,0.5566666666666666,0.03666666666666667,0.0,-1130.3832574946118,0.4066666666666667,0.41544117647058826
27,0.0,0.5066666666666667,0.03333333333333333,0.0,-1118.1907338534008,0.46,0.4656862745098039
28,0.0,0.56,0.0033333333333333335,0.0,-1115.1118124125621,0.43666666666666665,0.4730392156862745
29,0.0,0.5133333333333333,0.0033333333333333335,0.0,-1103.1739612315341,0.48333333333333334,0.4828431372549019
30,0.0,0.5133333333333333,0.023333333333333334,0.0,-1149.8061298020718,0.4633333333333333,0.44975490196078427
31,0.0,0.49333333333333335,0.0,0.0,-1088.2151023641743,0.5066666666666667,0.49142156862745096
32,0.0,0.5166666666666667,0.013333333333333334,0.0,-1088.7284748315963,0.47,0.48406862745098034
33,0.0,0.5133333333333333,0.06,0.0,-1122.3385547634068,0.4266666666666667,0.4583333333333333
34,0.0,0.44333333333333336,0.01,0.0,-1096.185077538301,0.5466666666666666,0.5049019607843137
35,0.0,0.5533333333333333,0.0033333333333333335,0.0,-1141.0909618072253,0.44333333333333336,0.4791666666666666
36,0.0,0.5366666666666666,0.006666666666666667,0.0,-1108.0967659185198,0.45666666666666667,0.49877450980392163
37,0.0,0.59,0.07666666666666666,0.0,-1133.4117841473624,0.3333333333333333,0.420343137254902
38,0.0,0.48333333333333334,0.006666666666666667,0.0,-1135.6124708987213,0.51,0.48406862745098034
39,0.0,0.53,0.05333333333333334,0.0,-1207.5911417441273,0.4166666666666667,0.41299019607843135
40,0.0,0.4766666666666667,0.016666666666666666,0.0,-1151.4765784937942,0.5066666666666667,0.4865196078431373
41,0.0,0.55,0.03,0.0,-1133.3198311447798,0.42,0.4632352941176471
42,0.0,0.48,0.006666666666666667,0.0,-1073.6913678874444,0.5133333333333333,0.5110294117647058
43,0.0,0.4866666666666667,0.01,0.0,-1103.760725810727,0.5033333333333333,0.5061274509803922
44,0.0,0.5033333333333333,0.006666666666666667,0.0,-1070.8378530745429,0.49,0.5134803921568627
45,0.0,0.42333333333333334,0.0,0.0,-1070.7540287273553,0.5766666666666667,0.5061274509803921
46,0.0,0.5266666666666666,0.0,0.0,-1089.387954249033,0.47333333333333333,0.5012254901960784
47,0.0,0.4766666666666667,0.0,0.0,-1079.2135810582622,0.5233333333333333,0.5036764705882353
48,0.0,0.5033333333333333,0.006666666666666667,0.0,-1077.0193179379917,0.49,0.5049019607843137
49,0.0,0.5166666666666667,0.03,0.0,-1162.8092375262465,0.4533333333333333,0.4154411764705882
50,0.0,0.5433333333333333,0.06,0.0,-1131.3426168512844,0.39666666666666667,0.42401960784313725
51,0.0,0.5033333333333333,0.05,0.0,-1079.8473872518948,0.44666666666666666,0.4632352941176471
52,0.0,0.5,0.043333333333333335,0.0,-1076.4665841625003,0.45666666666666667,0.5061274509803922
53,0.0,0.5266666666666666,0.07666666666666666,0.0,-1092.435509824669,0.39666666666666667,0.4375
54,0.0,0.51,0.06333333333333334,0.0,-1075.0014289995852,0.4266666666666667,0.4828431372549019
55,0.0,0.45,0.043333333333333335,0.0,-1073.7453469394134,0.5066666666666667,0.4901960784313725
56,0.0,0.5133333333333333,0.1,0.0,-1098.1126254984708,0.38666666666666666,0.4632352941176471
57,0.0,0.46,0.03333333333333333,0.0,-1109.1162354203968,0.5066666666666667,0.4987745098039215
58,0.0,0.4533333333333333,0.04666666666666667,0.0,-1105.4769773458906,0.5,0.4865196078431372
59,0.0,0.41333333333333333,0.023333333333333334,0.0,-1106.5653195627801,0.5633333333333334,0.5269607843137254
60,0.0,0.5033333333333333,0.03,0.0,-1105.3670983167463,0.4666666666666667,0.508578431372549
61,0.0,0.4166666666666667,0.016666666666666666,0.0,-1102.024595737972,0.5666666666666667,0.5220588235294118
62,0.0,0.44666666666666666,0.04666666666666667,0.0,-1108.426624106646,0.5066666666666667,0.5110294117647058
63,0.0,0.48333333333333334,0.0,0.0,-1081.908952789595,0.5166666666666667,0.5232843137254901
64,0.0,0.49,0.006666666666666667,0.0,-1105.1907717261647,0.5033333333333333,0.5367647058823529
65,0.0,0.47,0.02666666666666667,0.0,-1115.812436365198,0.5033333333333333,0.5232843137254901
66,0.0,0.48333333333333334,0.043333333333333335,0.0,-1100.816004979805,0.47333333333333333,0.5159313725490196
67,0.0,0.4633333333333333,0.006666666666666667,0.0,-1110.2516894687597,0.53,0.5245098039215687
68,0.0,0.5,0.0033333333333333335,0.0,-1126.6727843717063,0.49666666666666665,0.5196078431372549
69,0.0,0.46,0.006666666666666667,0.0,-1111.2793971578203,0.5333333333333333,0.5220588235294118
70,0.0,0.49333333333333335,0.01,0.0,-1099.6147685310114,0.49666666666666665,0.5245098039215685
71,0.0,0.45,0.04,0.0,-1111.109838123476,0.51,0.4987745098039215
72,0.0,0.45666666666666667,0.01,0.0,-1125.6686387846642,0.5333333333333333,0.5245098039215685
73,0.0,0.44333333333333336,0.01,0.0,-1118.5406365162348,0.5466666666666666,0.5281862745098039
74,0.0,0.45666666666666667,0.013333333333333334,0.0,-1103.617753075443,0.53,0.528186274509804
75,0.0,0.41333333333333333,0.01,0.0,-1069.6413444831292,0.5766666666666667,0.5367647058823529
76,0.0,0.4633333333333333,0.013333333333333334,0.0,-1080.663855312117,0.5233333333333333,0.5379901960784313
77,0.0,0.4766666666666667,0.09333333333333334,0.0,-1082.4984334930866,0.43,0.4987745098039215
78,0.0,0.4766666666666667,0.08,0.0,-1078.4324106463807,0.44333333333333336,0.4889705882352941
79,0.0,0.47333333333333333,0.056666666666666664,0.0,-1073.3664944877798,0.47,0.4742647058823529
80,0.0,0.4066666666666667,0.006666666666666667,0.0,-1071.6309759845715,0.5866666666666667,0.5269607843137255
81,0.0,0.47,0.006666666666666667,0.0,-1061.5417405285611,0.5233333333333333,0.5232843137254901
82,0.0,0.42,0.006666666666666667,0.0,-1050.8300834163315,0.5733333333333334,0.5159313725490197
83,0.0,0.45666666666666667,0.006666666666666667,0.0,-1055.1808374747143,0.5366666666666666,0.5171568627450981
84,0.0,0.47333333333333333,0.006666666666666667,0.0,-1036.6284136985191,0.52,0.5183823529411765
85,0.0,0.5133333333333333,0.013333333333333334,0.0,-1053.5054558396528,0.47333333333333333,0.508578431372549
86,0.0,0.48,0.0033333333333333335,0.0,-1072.1999543376292,0.5166666666666667,0.534313725490196
87,0.0,0.51,0.0033333333333333335,0.0,-1067.1659804810222,0.4866666666666667,0.5245098039215687
88,0.0,0.45,0.01,0.0,-1080.4596022102032,0.54,0.5465686274509804
89,0.0,0.46,0.016666666666666666,0.0,-1050.835175559417,0.5233333333333333,0.5686274509803922
90,0.0,0.4266666666666667,0.0033333333333333335,0.0,-1049.654354297242,0.57,0.5563725490196078
91,0.0,0.47333333333333333,0.0,0.0,-1058.3807962407589,0.5266666666666666,0.5428921568627451
92,0.0,0.49666666666666665,0.056666666666666664,0.0,-1122.2447126506493,0.44666666666666666,0.42647058823529405
93,0.0,0.5033333333333333,0.02,0.0,-1063.6412419382575,0.4766666666666667,0.5110294117647058
94,0.0,0.48333333333333334,0.06333333333333334,0.0,-1067.8444792577807,0.4533333333333333,0.5147058823529411
95,0.0,0.5466666666666666,0.016666666666666666,0.0,-1086.6988684988123,0.43666666666666665,0.4877450980392157
96,0.0,0.5033333333333333,0.01,0.0,-1084.5368975702813,0.4866666666666667,0.5147058823529411
97,0.0,0.41333333333333333,0.0033333333333333335,0.0,-1051.8770600644257,0.5833333333333334,0.5379901960784313
98,0.0,0.3933333333333333,0.0033333333333333335,0.0,-1053.8336861136643,0.6033333333333334,0.5441176470588235
99,0.0,0.4666666666666667,0.0033333333333333335,0.0,-1054.2921127431105,0.53,0.5428921568627451
100,0.0,0.43,0.0033333333333333335,0.0,-1060.5276650274538,0.5666666666666667,0.5588235294117647
101,0.0,0.38666666666666666,0.02666666666666667,0.0,-1053.5408593057302,0.5866666666666667,0.5477941176470589
102,0.0,0.4866666666666667,0.08,0.0,-1087.8783971267205,0.43333333333333335,0.4901960784313725
103,0.0,0.5,0.0033333333333333335,0.0,-1101.5012421769338,0.49666666666666665,0.5245098039215685
104,0.0,0.44333333333333336,0.02,0.0,-1078.5388352748741,0.5366666666666666,0.5465686274509804
105,0.0,0.43333333333333335,0.01,0.0,-1083.485789702199,0.5566666666666666,0.5392156862745098
106,0.0,0.44666666666666666,0.0,0.0,-1049.097437050618,0.5533333333333333,0.5502450980392156
107,0.0,0.52,0.0033333333333333335,0.0,-1080.0868081204717,0.4766666666666667,0.5306372549019607
108,0.0,0.4866666666666667,0.0033333333333333335,0.0,-1111.5633584572681,0.51,0.5159313725490196
109,0.0,0.51,0.02666666666666667,0.0,-1123.6887300912174,0.4633333333333333,0.47794117647058826
110,0.0,0.5233333333333333,0.07,0.0,-1131.4046021009947,0.4066666666666667,0.44485294117647056
111,0.0,0.51,0.12,0.0,-1126.9150453367527,0.37,0.4019607843137254
112,0.0,0.5166666666666667,0.013333333333333334,0.0,-1108.5830370657106,0.47,0.4754901960784313
113,0.0,0.48,0.01,0.0,-1106.2514076878476,0.51,0.4767156862745098
114,0.0,0.49666666666666665,0.03666666666666667,0.0,-1066.9202344447137,0.4666666666666667,0.4889705882352941
115,0.0,0.5033333333333333,0.023333333333333334,0.0,-1075.7834230553512,0.47333333333333333,0.46813725490196073
116,0.0,0.5233333333333333,0.03666666666666667,0.0,-1065.7806590997407,0.44,0.46691176470588236
117,0.0,0.57,0.05,0.0,-1062.0045993112283,0.38,0.4424019607843137
118,0.0,0.5333333333333333,0.07666666666666666,0.0,-1056.8249757611627,0.39,0.4473039215686274
119,0.0,0.5266666666666666,0.0033333333333333335,0.0,-1056.177685778183,0.47,0.502450980392157
120,0.0,0.5333333333333333,0.0,0.0,-1052.2506029753824,0.4666666666666667,0.5061274509803922
121,0.0,0.5133333333333333,0.0,0.0,-1054.2265625816997,0.4866666666666667,0.5110294117647058
122,0.0,0.49,0.0,0.0,-1068.5765873703547,0.51,0.502450980392157
123,0.0,0.45666666666666667,0.056666666666666664,0.0,-1070.4144313212819,0.4866666666666667,0.454656862745098
124,0.0,0.55,0.023333333333333334,0.0,-1073.3608876492879,0.4266666666666667,0.45955882352941174
125,0.0,0.5266666666666666,0.013333333333333334,0.0,-1072.4414860268062,0.46,0.47058823529411764
126,0.0,0.48,0.02,0.0,-1089.416892175616,0.5,0.4852941176470588
127,0.0,0.5166666666666667,0.01,0.0,-1123.3847676520697,0.47333333333333333,0.471813725490196
128,0.0,0.5433333333333333,0.01,0.0,-1120.301861104583,0.44666666666666666,0.48406862745098034
129,0.0,0.5133333333333333,0.02666666666666667,0.0,-1086.6364923705419,0.46,0.4828431372549019
130,0.0,0.5166666666666667,0.016666666666666666,0.0,-1106.2773732385651,0.4666666666666667,0.4889705882352941
131,0.0,0.42333333333333334,0.04666666666666667,0.0,-1121.4479183937526,0.53,0.4987745098039215
132,0.0,0.45,0.02666666666666667,0.0,-1094.5985082673644,0.5233333333333333,0.5183823529411765
133,0.0,0.41,0.006666666666666667,0.0,-1062.7806177622626,0.5833333333333334,0.5551470588235294
134,0.0,0.42333333333333334,0.0033333333333333335,0.0,-1062.3470346724455,0.5733333333333334,0.5526960784313725
135,0.0,0.4633333333333333,0.0,0.0,-1061.5880619064137,0.5366666666666666,0.5526960784313725
136,0.0,0.43666666666666665,0.0033333333333333335,0.0,-1063.8705728655168,0.56,0.5575980392156863
137,0.0,0.4533333333333333,0.0,0.0,-1084.1117325369307,0.5466666666666666,0.5502450980392156
138,0.0,0.49,0.0,0.0,-1095.086468420716,0.51,0.5588235294117647
139,0.0,0.47,0.013333333333333334,0.0,-1068.6075377573843,0.5166666666666667,0.5159313725490196
140,0.0,0.5066666666666667,0.043333333333333335,0.0,-1046.7476190730656,0.45,0.5159313725490196
141,0.0,0.4666666666666667,0.03,0.0,-1033.6050475756829,0.5033333333333333,0.5294117647058824
142,0.0,0.4533333333333333,0.006666666666666667,0.0,-1034.0686357553204,0.54,0.5698529411764706
143,0.0,0.46,0.0,0.0,-1041.7100462215121,0.54,0.5686274509803921
144,0.0,0.46,0.0033333333333333335,0.0,-1062.0721276420386,0.5366666666666666,0.5784313725490197
145,0.0,0.44333333333333336,0.0033333333333333335,0.0,-1051.799498172572,0.5533333333333333,0.5588235294117647
146,0.0,0.39666666666666667,0.0,0.0,-1040.681332259783,0.6033333333333334,0.5698529411764706
147,0.0,0.37666666666666665,0.0033333333333333335,0.0,-1047.8697197852607,0.62,0.5575980392156863
148,0.0,0.44333333333333336,0.11333333333333333,0.0,-1064.3995074878833,0.44333333333333336,0.4791666666666666
149,0.0,0.5266666666666666,0.08333333333333333,0.0,-1084.091715577433,0.39,0.4767156862745099
150,0.0,0.48333333333333334,0.06666666666666667,0.0,-1100.7834345283322,0.45,0.43995098039215685
151,0.0,0.5233333333333333,0.06666666666666667,0.0,-1075.5370809048861,0.41,0.4742647058823529
152,0.0,0.44333333333333336,0.11,0.0,-1079.7266239781654,0.44666666666666666,0.47794117647058826
153,0.0,0.51,0.09,0.0,-1077.740436253441,0.4,0.4975490196078431
154,0.0,0.43,0.09666666666666666,0.0,-1090.8716314237836,0.47333333333333333,0.4963235294117647
155,0.0,0.43666666666666665,0.08,0.0,-1093.1731118977743,0.48333333333333334,0.5330882352941176
156,0.0,0.3933333333333333,0.013333333333333334,0.0,-1092.203411159519,0.5933333333333334,0.5563725490196078
157,0.0,0.44,0.0,0.0,-1100.1959573118843,0.56,0.5698529411764706
158,0.0,0.39666666666666667,0.0,0.0,-1093.4651232997571,0.6033333333333334,0.5661764705882353
159,0.0,0.4066666666666667,0.016666666666666666,0.0,-1079.5124193076472,0.5766666666666667,0.5759803921568628
160,0.0,0.4266666666666667,0.05333333333333334,0.0,-1102.0764184413986,0.52,0.5453431372549019
161,0.0,0.43666666666666665,0.0,0.0,-1071.9094790922945,0.5633333333333334,0.5674019607843137
162,0.0,0.41333333333333333,0.006666666666666667,0.0,-1052.5118964975893,0.58,0.5674019607843137
163,0.0,0.51,0.0033333333333333335,0.0,-1093.9233639533754,0.4866666666666667,0.5514705882352942
164,0.0,0.44333333333333336,0.0033333333333333335,0.0,-1090.2055960230302,0.5533333333333333,0.5526960784313725
165,0.0,0.4533333333333333,0.0,0.0,-1084.7648382892596,0.5466666666666666,0.5514705882352942
166,0.0,0.4666666666666667,0.0,0.0,-1092.3069474013482,0.5333333333333333,0.5465686274509803
167,0.0,0.4666666666666667,0.006666666666666667,0.0,-1061.9516300150974,0.5266666666666666,0.5502450980392156
168,0.0,0.46,0.006666666666666667,0.0,-1059.8938738798508,0.5333333333333333,0.5563725490196078
169,0.0,0.39666666666666667,0.03333333333333333,0.0,-1067.702493166964,0.57,0.5208333333333334
170,0.0,0.42,0.03333333333333333,0.0,-1061.932424448083,0.5466666666666666,0.5355392156862745
171,0.0,0.39666666666666667,0.006666666666666667,0.0,-1091.3178861538872,0.5966666666666667,0.5416666666666666
172,0.0,0.44333333333333336,0.01,0.0,-1114.4304494632045,0.5466666666666666,0.5575980392156863
173,0.0,0.38333333333333336,0.013333333333333334,0.0,-1070.0828057528402,0.6033333333333334,0.5600490196078431
174,0.0,0.4766666666666667,0.06666666666666667,0.0,-1091.8808074056724,0.45666666666666667,0.5416666666666666
175,0.0,0.43666666666666665,0.14666666666666667,0.0,-1076.0420285144955,0.4166666666666667,0.5024509803921569
176,0.0,0.3466666666666667,0.006666666666666667,0.0,-1132.283352088185,0.6466666666666666,0.560049019607843
177,0.0,0.45,0.0,0.0,-1134.5838371727518,0.55,0.5600490196078431
178,0.0,0.4533333333333333,0.0033333333333333335,0.0,-1104.5580489301865,0.5433333333333333,0.5539215686274509
179,0.0,0.4166666666666667,0.0,0.0,-1091.484004049677,0.5833333333333334,0.553921568627451
180,0.0,0.44666666666666666,0.0033333333333333335,0.0,-1103.8139930767156,0.55,0.5625
181,0.0,0.37,0.013333333333333334,0.0,-1079.7650428227735,0.6166666666666667,0.5600490196078431
182,0.0,0.43333333333333335,0.0033333333333333335,0.0,-1096.6090171125886,0.5633333333333334,0.5563725490196078
183,0.0,0.4066666666666667,0.0,0.0,-1072.8980993653158,0.5933333333333334,0.5674019607843137
184,0.0,0.48,0.0033333333333333335,0.0,-1095.3249698070235,0.5166666666666667,0.5526960784313726
185,0.0,0.44,0.0033333333333333335,0.0,-1087.36233497954,0.5566666666666666,0.5477941176470589
186,0.0,0.38333333333333336,0.0033333333333333335,0.0,-1073.4813349631604,0.6133333333333333,0.5588235294117647
187,0.0,0.39666666666666667,0.0,0.0,-1058.667460250124,0.6033333333333334,0.5575980392156863
188,0.0,0.45666666666666667,0.03333333333333333,0.0,-1059.8878730362133,0.51,0.5294117647058824
189,0.0,0.49333333333333335,0.02,0.0,-1061.445360861247,0.4866666666666667,0.5318627450980392
190,0.0,0.45666666666666667,0.0033333333333333335,0.0,-1045.7812829032443,0.54,0.5367647058823529
191,0.0,0.54,0.016666666666666666,0.0,-1080.189801660475,0.44333333333333336,0.5257352941176471
192,0.0,0.4633333333333333,0.01,0.0,-1061.1255569222503,0.5266666666666666,0.5232843137254901
193,0.0,0.4533333333333333,0.0033333333333333335,0.0,-1048.0056018937307,0.5433333333333333,0.5159313725490196
194,0.0,0.44666666666666666,0.006666666666666667,0.0,-1038.6527349131973,0.5466666666666666,0.5171568627450981
195,0.0,0.5,0.01,0.0,-1046.326863859707,0.49,0.5183823529411765
196,0.0,0.44333333333333336,0.0033333333333333335,0.0,-1055.33673006279,0.5533333333333333,0.5232843137254901
197,0.0,0.4033333333333333,0.01,0.0,-1073.5496242701602,0.5866666666666667,0.5355392156862745
